image,f1_mic,f2_mic,f3_mic,f4_mic,f5_mic,f6_mic,f7_mic,f8_mic,f9_mic,f10_mic,f11_mic,f12_mic,f13_mic,f14_mic,f15_mic,f16_mic,f1_mac,f2_mac,f3_mac,f4_mac,f5_mac,f6_mac,f7_mac,f8_mac,f9_mac,f10_mac,f11_mac,f12_mac,f13_mac,f14_mac,f15_mac,f16_mac,label
image11.png,1.6674800777186263,1.5816832892199288,1.5639460745073426,1.4571713707616067,2.198926169794093,1.5639040806608349,1.4650803423716627,1.6217596516146435,1.4771984944584473,1.6991126464366113,1.3811160937542564,2.5237732365744923,1.412868727693312,1.52956063957879,1.4041451383332761,1.4309554377470397,182.0,243.0,263.0,280.0,208.0,245.0,258.0,256.0,242.0,196.0,286.0,181.0,242.0,241.0,268.0,252.0,121.0
image12.png,1.6674800777186263,1.5816832892199288,1.5639460745073426,1.4571713707616067,2.198926169794093,1.5639040806608349,1.4650803423716627,1.6217596516146435,1.4771984944584473,1.6991126464366113,1.3811160937542564,2.5237732365744923,1.412868727693312,1.52956063957879,1.4041451383332761,1.4309554377470397,182.0,243.0,263.0,280.0,208.0,245.0,258.0,256.0,242.0,196.0,286.0,181.0,242.0,241.0,268.0,252.0,122.0
image13.png,1.738437374088685,1.8210672779790054,1.556580199044501,1.4763053509614705,1.7753160705459061,1.4688598969431137,1.4114603317214154,1.5178613201825675,1.5362254834897777,2.31666219702682,1.3927353967170735,1.9974506019220375,1.4285433509869692,1.5909599663751424,1.5240510525774003,1.4626465157224657,169.0,245.0,286.0,279.0,221.0,266.0,256.0,237.0,259.0,204.0,278.0,172.0,253.0,216.0,249.0,262.0,119.0
image14.png,1.738437374088685,1.8210672779790054,1.556580199044501,1.4763053509614705,1.7753160705459061,1.4688598969431137,1.4114603317214154,1.5178613201825675,1.5362254834897777,2.31666219702682,1.3927353967170735,1.9974506019220375,1.4285433509869692,1.5909599663751424,1.5240510525774003,1.4626465157224657,169.0,245.0,286.0,279.0,221.0,266.0,256.0,237.0,259.0,204.0,278.0,172.0,253.0,216.0,249.0,262.0,118.0
image15.png,1.738437374088685,1.8210672779790054,1.556580199044501,1.4763053509614705,1.7753160705459061,1.4688598969431137,1.4114603317214154,1.5178613201825675,1.5362254834897777,2.31666219702682,1.3927353967170735,1.9974506019220375,1.4285433509869692,1.5909599663751424,1.5240510525774003,1.4626465157224657,169.0,245.0,286.0,279.0,221.0,266.0,256.0,237.0,259.0,204.0,278.0,172.0,253.0,216.0,249.0,262.0,121.0
image16.png,1.6674800777186263,1.5816832892199288,1.5639460745073426,1.4571713707616067,2.198926169794093,1.5639040806608349,1.4650803423716627,1.6217596516146435,1.4771984944584473,1.6991126464366113,1.3811160937542564,2.5237732365744923,1.412868727693312,1.52956063957879,1.4041451383332761,1.4309554377470397,182.0,243.0,263.0,280.0,208.0,245.0,258.0,256.0,242.0,196.0,286.0,181.0,242.0,241.0,268.0,252.0,118.0
image17.png,1.6674800777186263,1.5816832892199288,1.5639460745073426,1.4571713707616067,2.198926169794093,1.5639040806608349,1.4650803423716627,1.6217596516146435,1.4771984944584473,1.6991126464366113,1.3811160937542564,2.5237732365744923,1.412868727693312,1.52956063957879,1.4041451383332761,1.4309554377470397,182.0,243.0,263.0,280.0,208.0,245.0,258.0,256.0,242.0,196.0,286.0,181.0,242.0,241.0,268.0,252.0,121.0
image18.png,1.6674800777186263,1.5816832892199288,1.5639460745073426,1.4571713707616067,2.198926169794093,1.5639040806608349,1.4650803423716627,1.6217596516146435,1.4771984944584473,1.6991126464366113,1.3811160937542564,2.5237732365744923,1.412868727693312,1.52956063957879,1.4041451383332761,1.4309554377470397,182.0,243.0,263.0,280.0,208.0,245.0,258.0,256.0,242.0,196.0,286.0,181.0,242.0,241.0,268.0,252.0,119.0
image19.png,1.6674800777186263,1.5816832892199288,1.5639460745073426,1.4571713707616067,2.198926169794093,1.5639040806608349,1.4650803423716627,1.6217596516146435,1.4771984944584473,1.6991126464366113,1.3811160937542564,2.5237732365744923,1.412868727693312,1.52956063957879,1.4041451383332761,1.4309554377470397,182.0,243.0,263.0,280.0,208.0,245.0,258.0,256.0,242.0,196.0,286.0,181.0,242.0,241.0,268.0,252.0,126.0
image20.png,1.6674800777186263,1.5816832892199288,1.5639460745073426,1.4571713707616067,2.198926169794093,1.5639040806608349,1.4650803423716627,1.6217596516146435,1.4771984944584473,1.6991126464366113,1.3811160937542564,2.5237732365744923,1.412868727693312,1.52956063957879,1.4041451383332761,1.4309554377470397,182.0,243.0,263.0,280.0,208.0,245.0,258.0,256.0,242.0,196.0,286.0,181.0,242.0,241.0,268.0,252.0,122.0
